year,state,district,party,votes,median_age,population,white_pop,black_pop,native_pop,asian_pop,hisp_pop,median_income_12mo
1976,AK,1,republican,83722,NA,NA,NA,NA,NA,NA,NA,NA
1976,AL,1,republican,98257,NA,NA,NA,NA,NA,NA,NA,NA
1976,AL,2,republican,90069,NA,NA,NA,NA,NA,NA,NA,NA
1976,AL,3,republican,26733.75,NA,NA,NA,NA,NA,NA,NA,NA
1976,AL,4,republican,35372.5,NA,NA,NA,NA,NA,NA,NA,NA
1976,AL,5,republican,28388.25,NA,NA,NA,NA,NA,NA,NA,NA
1976,AL,6,republican,92113,NA,NA,NA,NA,NA,NA,NA,NA
1976,AL,7,republican,27624,NA,NA,NA,NA,NA,NA,NA,NA
1976,AR,1,republican,52565,NA,NA,NA,NA,NA,NA,NA,NA
1976,AR,2,republican,36195,NA,NA,NA,NA,NA,NA,NA,NA
1976,AR,3,republican,0.75,NA,NA,NA,NA,NA,NA,NA,NA
1976,AR,4,republican,0.25,NA,NA,NA,NA,NA,NA,NA,NA
1976,AZ,1,republican,96397,NA,NA,NA,NA,NA,NA,NA,NA
1976,AZ,2,republican,71765,NA,NA,NA,NA,NA,NA,NA,NA
1976,AZ,3,republican,79162,NA,NA,NA,NA,NA,NA,NA,NA
1976,AZ,4,republican,93154,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,1,republican,56539,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,2,republican,121290,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,3,republican,52075,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,4,republican,75193,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,5,republican,64008,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,6,republican,35359,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,7,republican,36766,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,8,republican,68374,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,9,republican,44607,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,10,republican,38088,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,11,republican,62435,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,12,republican,130332,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,13,republican,63130,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,14,republican,46674,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,15,republican,35700,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,16,republican,91160,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,17,republican,54270,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,18,republican,101658,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,19,republican,124201,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,20,republican,146158,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,21,republican,44094,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,22,republican,114769,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,23,republican,86434,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,24,republican,51478,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,25,republican,14491.5,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,26,republican,112619,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,27,republican,114623,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,28,republican,28653,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,29,republican,20628.75,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,30,republican,28503,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,31,republican,20788.75,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,32,republican,35394,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,33,republican,95398,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,34,republican,98147,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,35,republican,76765,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,36,republican,49368,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,37,republican,133634,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,38,republican,59092,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,39,republican,122657,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,40,republican,148512,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,41,republican,128784,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,42,republican,25765.5,NA,NA,NA,NA,NA,NA,NA,NA
1976,CA,43,republican,173576,NA,NA,NA,NA,NA,NA,NA,NA
1976,CO,1,republican,89384,NA,NA,NA,NA,NA,NA,NA,NA
1976,CO,2,republican,118938,NA,NA,NA,NA,NA,NA,NA,NA
1976,CO,3,republican,82315,NA,NA,NA,NA,NA,NA,NA,NA
1976,CO,4,republican,119458,NA,NA,NA,NA,NA,NA,NA,NA
1976,CO,5,republican,126784,NA,NA,NA,NA,NA,NA,NA,NA
1976,CT,1,republican,94106,NA,NA,NA,NA,NA,NA,NA,NA
1976,CT,2,republican,74743,NA,NA,NA,NA,NA,NA,NA,NA
1976,CT,3,republican,96714,NA,NA,NA,NA,NA,NA,NA,NA
1976,CT,4,republican,126314,NA,NA,NA,NA,NA,NA,NA,NA
1976,CT,5,republican,157009,NA,NA,NA,NA,NA,NA,NA,NA
1976,CT,6,republican,102364,NA,NA,NA,NA,NA,NA,NA,NA
1976,DE,1,republican,110636,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,1,republican,0.25,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,2,republican,0.25,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,3,republican,0.25,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,4,republican,0.25,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,5,republican,138371,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,6,republican,151371,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,7,republican,53599,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,8,republican,74794,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,9,republican,97881.75,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,10,republican,164273,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,11,republican,49757.75,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,12,republican,107268,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,13,republican,31955.5,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,14,republican,30774,NA,NA,NA,NA,NA,NA,NA,NA
1976,FL,15,republican,50941,NA,NA,NA,NA,NA,NA,NA,NA
1976,GA,1,republican,18456.5,NA,NA,NA,NA,NA,NA,NA,NA
1976,GA,2,republican,23951.75,NA,NA,NA,NA,NA,NA,NA,NA
1976,GA,3,republican,23293.5,NA,NA,NA,NA,NA,NA,NA,NA
1976,GA,4,republican,51140,NA,NA,NA,NA,NA,NA,NA,NA
1976,GA,5,republican,47998,NA,NA,NA,NA,NA,NA,NA,NA
1976,GA,6,republican,72400,NA,NA,NA,NA,NA,NA,NA,NA
1976,GA,7,republican,68947,NA,NA,NA,NA,NA,NA,NA,NA
